"SVN"	"Taxon"	"CountValue"
"2275"	"01089CSR"	"Ceratopogoninae"	33
"2276"	"01090CSR"	"Ceratopogoninae"	8
"2277"	"01036WSE"	"Ceratopogoninae"	2
"2278"	"01111CSR"	"Ceratopogoninae"	2
"2279"	"01114CSR"	"Ceratopogoninae"	3
"2280"	"01115CSR"	"Ceratopogoninae"	3
"2281"	"01116CSR"	"Ceratopogoninae"	19
"2282"	"01117CSR"	"Ceratopogoninae"	1
"2283"	"01118CSR"	"Ceratopogoninae"	4
"2284"	"01031WSE"	"Bezzia/Palpomyia"	1
"2285"	"01032WSE"	"Bezzia/Palpomyia"	1
"2286"	"01033WSE"	"Bezzia/Palpomyia"	3
"2287"	"01038WSE"	"Bezzia/Palpomyia"	1
"2288"	"01039WSE"	"Bezzia/Palpomyia"	11
"2289"	"01041WSE"	"Bezzia/Palpomyia"	1
"2290"	"01042WSE"	"Bezzia/Palpomyia"	1
"2291"	"01044WSE"	"Bezzia/Palpomyia"	2
"2292"	"99015REM"	"Forcipomyiinae"	1
"2293"	"00029CSR"	"Forcipomyiinae"	2
"2294"	"99013REM"	"Forcipomyiinae"	1
"2295"	"99003REM"	"Forcipomyiinae"	2
"2296"	"99006REM"	"Forcipomyiinae"	1
"2297"	"00041CSR"	"Forcipomyiinae"	4
"2298"	"00036CSR"	"Forcipomyiinae"	4
"2299"	"00026CSR"	"Forcipomyiinae"	3
"2300"	"00033CSR"	"Forcipomyiinae"	8
"2301"	"00049CSR"	"Forcipomyiinae"	2
"2302"	"00003CSR"	"Forcipomyiinae"	1
"2303"	"00017CSR"	"Forcipomyiinae"	1
"2304"	"00017REM"	"Forcipomyiinae"	1
"2305"	"00007REM"	"Forcipomyiinae"	1
"2306"	"00012REM"	"Forcipomyiinae"	2
"2307"	"00021REM"	"Forcipomyiinae"	1
"2308"	"00004REM"	"Forcipomyiinae"	1
"2309"	"01094CSR"	"Forcipomyiinae"	130
"2310"	"01104CSR"	"Forcipomyiinae"	16
"2311"	"01027CSR"	"Forcipomyiinae"	1
"2312"	"01037CSR"	"Forcipomyiinae"	17
"2313"	"01041CSR"	"Forcipomyiinae"	112
"2314"	"01072CSR"	"Forcipomyiinae"	1
"2315"	"01059CSR"	"Forcipomyiinae"	42
"2316"	"01062CSR"	"Forcipomyiinae"	3
"2317"	"01116CSR"	"Forcipomyiinae"	42
"2318"	"01113CSR"	"Forcipomyiinae"	2
"2319"	"99062CSR"	"Atrichopogon"	1
"2320"	"99059CSR"	"Atrichopogon"	2
"2321"	"99022CSR"	"Atrichopogon"	1
"2322"	"00003WSE"	"Atrichopogon"	6
"2323"	"00004WSE"	"Atrichopogon"	1
"2324"	"01044WSE"	"Atrichopogon"	4
"2325"	"00003WSE"	"Forcipomyia"	3
"2326"	"01033WSE"	"Culicoides"	1
"2327"	"01021CSR"	"Dixidae"	1
"2328"	"01056CSR"	"Dixidae"	2
"2329"	"99028CSR"	"Dixa"	1
"2330"	"99015REM"	"Dixa"	3
"2331"	"99039CSR"	"Dixa"	1
"2332"	"99069CSR"	"Dixa"	3
"2333"	"01004CSR"	"Dixa"	33
"2334"	"00046CSR"	"Dixa"	1
"2335"	"99052CSR"	"Dixa"	1
"2336"	"99011CSR"	"Dixa"	3
"2337"	"99034CSR"	"Dixa"	1
"2338"	"99023CSR"	"Dixa"	1
"2339"	"99037CSR"	"Dixa"	3
"2340"	"00069CSR"	"Dixa"	1
"2341"	"99025CSR"	"Dixa"	1
"2342"	"99022CSR"	"Dixa"	4
"2343"	"99058CSR"	"Dixa"	5
"2344"	"99030CSR"	"Dixa"	1
"2345"	"99009REM"	"Dixa"	2
"2346"	"99030REM"	"Dixa"	4
"2347"	"99001REM"	"Dixa"	1
"2348"	"00041CSR"	"Dixa"	5
"2349"	"00042CSR"	"Dixa"	1
"2350"	"00036CSR"	"Dixa"	2
"2351"	"00103CSR"	"Dixa"	10
"2352"	"00010CSR"	"Dixa"	3
"2353"	"00040CSR"	"Dixa"	1
"2354"	"00038CSR"	"Dixa"	1
"2355"	"00025CSR"	"Dixa"	2
"2356"	"00009CSR"	"Dixa"	3
"2357"	"00050CSR"	"Dixa"	4
"2358"	"00070CSR"	"Dixa"	12
"2359"	"00007CSR"	"Dixa"	1
"2360"	"00033CSR"	"Dixa"	12
"2361"	"00034CSR"	"Dixa"	1
"2362"	"00004CSR"	"Dixa"	5
"2363"	"00058CSR"	"Dixa"	1
"2364"	"00003CSR"	"Dixa"	1
"2365"	"00027REM"	"Dixa"	1
"2366"	"00017REM"	"Dixa"	2
"2367"	"00033REM"	"Dixa"	1
"2368"	"00032REM"	"Dixa"	1
"2369"	"00025REM"	"Dixa"	1
"2370"	"00009REM"	"Dixa"	2
"2371"	"00021REM"	"Dixa"	1
"2372"	"00001WSE"	"Dixa"	8
"2373"	"00003WSE"	"Dixa"	3
"2374"	"00004WSE"	"Dixa"	1
"2375"	"01093CSR"	"Dixa"	3
"2376"	"01095CSR"	"Dixa"	3
"2377"	"01102CSR"	"Dixa"	1
"2378"	"01105CSR"	"Dixa"	2
"2379"	"01021CSR"	"Dixa"	3
"2380"	"01037CSR"	"Dixa"	1
"2381"	"01041CSR"	"Dixa"	328
"2382"	"01003CSR"	"Dixa"	1
"2383"	"01065CSR"	"Dixa"	2
"2384"	"01056CSR"	"Dixa"	3
"2385"	"01062CSR"	"Dixa"	9
"2386"	"01082CSR"	"Dixa"	2
"2387"	"01085CSR"	"Dixa"	112
"2388"	"01089CSR"	"Dixa"	12
"2389"	"01090CSR"	"Dixa"	8
"2390"	"01032WSE"	"Dixa"	2
"2391"	"01033WSE"	"Dixa"	3
"2392"	"01041WSE"	"Dixa"	1
"2393"	"01042WSE"	"Dixa"	2
"2394"	"01044WSE"	"Dixa"	1
"2395"	"01111CSR"	"Dixa"	2
"2396"	"01112CSR"	"Dixa"	4
"2397"	"01116CSR"	"Dixa"	21
"2398"	"01117CSR"	"Dixa"	1
"2399"	"99068CSR"	"Dixella"	4
"2400"	"99059CSR"	"Dixella"	4
"2401"	"00029CSR"	"Dixella"	1
"2402"	"99057CSR"	"Dixella"	2
"2403"	"99069CSR"	"Dixella"	2
"2404"	"00039CSR"	"Dixella"	1
"2405"	"00017REM"	"Dixella"	1
"2406"	"01050CSR"	"Dixella"	105
"2407"	"01056CSR"	"Dixella"	8
"2408"	"99059CSR"	"Meringodixa"	3
"2409"	"99032REM"	"Meringodixa"	1
"2410"	"99031REM"	"Meringodixa"	1
"2411"	"00103CSR"	"Meringodixa"	14
"2412"	"00050CSR"	"Meringodixa"	6
"2413"	"00070CSR"	"Meringodixa"	1
"2414"	"00004REM"	"Meringodixa"	1
"2415"	"01093CSR"	"Meringodixa"	1
"2416"	"01108CSR"	"Meringodixa"	1
"2417"	"01021CSR"	"Meringodixa"	1
"2418"	"01027CSR"	"Meringodixa"	23
"2419"	"01037CSR"	"Meringodixa"	32
"2420"	"01003CSR"	"Meringodixa"	1
"2421"	"01069CSR"	"Meringodixa"	1
"2422"	"01056CSR"	"Meringodixa"	12
"2423"	"01059CSR"	"Meringodixa"	3
"2424"	"99026CSR"	"Empididae"	1
"2425"	"99014CSR"	"Empididae"	1
"2426"	"99045CSR"	"Empididae"	1
"2427"	"99010REM"	"Empididae"	1
"2428"	"00103CSR"	"Empididae"	1
"2429"	"01051CSR"	"Empididae"	1
"2430"	"01036WSE"	"Empididae"	1
"2431"	"01115CSR"	"Empididae"	1
"2432"	"99062CSR"	"Empididae-pupae"	1
"2433"	"99055CSR"	"Empididae-pupae"	1
"2434"	"00001CSR"	"Empididae-pupae"	1
"2435"	"99053CSR"	"Empididae-pupae"	1
"2436"	"99054CSR"	"Empididae-pupae"	1
"2437"	"99038CSR"	"Empididae-pupae"	2
"2438"	"00034CSR"	"Empididae-pupae"	1
"2439"	"00047CSR"	"Empididae-pupae"	1
"2440"	"99018CSR"	"Chelifera"	4
"2441"	"00043CSR"	"Chelifera"	3
"2442"	"99074CSR"	"Chelifera"	3
"2443"	"99017CSR"	"Chelifera"	6
"2444"	"99004SPS"	"Chelifera"	1
"2445"	"99005SPS"	"Chelifera"	3
"2446"	"99006SPS"	"Chelifera"	7
"2447"	"99062CSR"	"Chelifera"	1
"2448"	"99016CSR"	"Chelifera"	1
"2449"	"00028CSR"	"Chelifera"	2
"2450"	"99049CSR"	"Chelifera"	1
"2451"	"99068CSR"	"Chelifera"	3
"2452"	"99070CSR"	"Chelifera"	6
"2453"	"00029CSR"	"Chelifera"	5
"2454"	"99026CSR"	"Chelifera"	1
"2455"	"99051CSR"	"Chelifera"	1
"2456"	"99002CSR"	"Chelifera"	2
"2457"	"99013CSR"	"Chelifera"	2
"2458"	"00039CSR"	"Chelifera"	4
"2459"	"99012CSR"	"Chelifera"	1
"2460"	"99023CSR"	"Chelifera"	1
"2461"	"99024CSR"	"Chelifera"	5
"2462"	"99037CSR"	"Chelifera"	2
"2463"	"99038CSR"	"Chelifera"	1
"2464"	"99022CSR"	"Chelifera"	1
"2465"	"00005CSR"	"Chelifera"	1
"2466"	"99050CSR"	"Chelifera"	1
"2467"	"99014CSR"	"Chelifera"	1
"2468"	"99029CSR"	"Chelifera"	1
"2469"	"99011REM"	"Chelifera"	1
"2470"	"99029REM"	"Chelifera"	1
"2471"	"99002REM"	"Chelifera"	1
"2472"	"99003REM"	"Chelifera"	2
"2473"	"00006REM"	"Chelifera"	5
"2474"	"00020CSR"	"Chelifera"	1
"2475"	"00019CSR"	"Chelifera"	1
"2476"	"00052CSR"	"Chelifera"	2
"2477"	"00036CSR"	"Chelifera"	2
"2478"	"00053CSR"	"Chelifera"	1
"2479"	"00026CSR"	"Chelifera"	4
"2480"	"00065CSR"	"Chelifera"	1
"2481"	"00035CSR"	"Chelifera"	3
"2482"	"00062CSR"	"Chelifera"	1
"2483"	"00013CSR"	"Chelifera"	6
"2484"	"00012CSR"	"Chelifera"	1
"2485"	"00057CSR"	"Chelifera"	3
"2486"	"00067CSR"	"Chelifera"	1
"2487"	"00027CSR"	"Chelifera"	1
"2488"	"00055CSR"	"Chelifera"	6
"2489"	"00056CSR"	"Chelifera"	2
"2490"	"00038CSR"	"Chelifera"	3
"2491"	"00025CSR"	"Chelifera"	1
"2492"	"00009CSR"	"Chelifera"	5
"2493"	"00071CSR"	"Chelifera"	1
"2494"	"00007CSR"	"Chelifera"	1
"2495"	"00006CSR"	"Chelifera"	1
"2496"	"00004CSR"	"Chelifera"	6
"2497"	"00058CSR"	"Chelifera"	2
"2498"	"00061CSR"	"Chelifera"	1
"2499"	"00064CSR"	"Chelifera"	1
"2500"	"00003CSR"	"Chelifera"	1
"2501"	"00017CSR"	"Chelifera"	1
"2502"	"00036REM"	"Chelifera"	1
"2503"	"00034REM"	"Chelifera"	1
"2504"	"00007REM"	"Chelifera"	1
"2505"	"00020REM"	"Chelifera"	2
"2506"	"00013REM"	"Chelifera"	1
"2507"	"00002REM"	"Chelifera"	3
"2508"	"00047CSR"	"Chelifera"	2
"2509"	"00001WSE"	"Chelifera"	2
"2510"	"00002WSE"	"Chelifera"	6
"2511"	"00004WSE"	"Chelifera"	1
"2512"	"00008WSE"	"Chelifera"	25
"2513"	"00009WSE"	"Chelifera"	2
"2514"	"00010WSE"	"Chelifera"	1
"2515"	"00011WSE"	"Chelifera"	1
"2516"	"00012WSE"	"Chelifera"	2
"2517"	"00004REM"	"Chelifera"	1
"2518"	"00028REM"	"Chelifera"	3
"2519"	"01096CSR"	"Chelifera"	10
"2520"	"01104CSR"	"Chelifera"	1
"2521"	"01106CSR"	"Chelifera"	17
"2522"	"01110CSR"	"Chelifera"	1
"2523"	"01016CSR"	"Chelifera"	4
"2524"	"01021CSR"	"Chelifera"	1
"2525"	"01037CSR"	"Chelifera"	9
"2526"	"01041CSR"	"Chelifera"	48
"2527"	"01005CSR"	"Chelifera"	1
"2528"	"01007CSR"	"Chelifera"	1
"2529"	"01066CSR"	"Chelifera"	4
"2530"	"01072CSR"	"Chelifera"	3
"2531"	"01050CSR"	"Chelifera"	27
"2532"	"01056CSR"	"Chelifera"	12
"2533"	"01059CSR"	"Chelifera"	1
"2534"	"01062CSR"	"Chelifera"	11
"2535"	"01082CSR"	"Chelifera"	2
"2536"	"01085CSR"	"Chelifera"	12
"2537"	"01089CSR"	"Chelifera"	128
"2538"	"01090CSR"	"Chelifera"	12
"2539"	"01041WSE"	"Chelifera"	1
"2540"	"99015REM"	"Clinocera"	1
"2541"	"99039CSR"	"Clinocera"	1
"2542"	"99009CSR"	"Clinocera"	3
"2543"	"99070CSR"	"Clinocera"	1
"2544"	"01004CSR"	"Clinocera"	1
"2545"	"00069CSR"	"Clinocera"	1
"2546"	"00005CSR"	"Clinocera"	2
"2547"	"99030CSR"	"Clinocera"	1
"2548"	"99011REM"	"Clinocera"	1
"2549"	"99035REM"	"Clinocera"	2
"2550"	"99031REM"	"Clinocera"	3
"2551"	"99006REM"	"Clinocera"	4
"2552"	"99021REM"	"Clinocera"	1
"2553"	"00002CSR"	"Clinocera"	3
"2554"	"00026CSR"	"Clinocera"	3
"2555"	"00055CSR"	"Clinocera"	2
"2556"	"00040CSR"	"Clinocera"	2
"2557"	"00006CSR"	"Clinocera"	1
"2558"	"00004CSR"	"Clinocera"	5
"2559"	"00018CSR"	"Clinocera"	1
"2560"	"00051CSR"	"Clinocera"	2
"2561"	"00033REM"	"Clinocera"	3
"2562"	"00034REM"	"Clinocera"	3
"2563"	"00025REM"	"Clinocera"	1
"2564"	"00005REM"	"Clinocera"	5
"2565"	"00013REM"	"Clinocera"	1
"2566"	"00014REM"	"Clinocera"	4
"2567"	"00012REM"	"Clinocera"	1
"2568"	"00022REM"	"Clinocera"	5
"2569"	"00026REM"	"Clinocera"	1
"2570"	"00001WSE"	"Clinocera"	1
"2571"	"01104CSR"	"Clinocera"	3
"2572"	"01106CSR"	"Clinocera"	10
"2573"	"01109CSR"	"Clinocera"	1
"2574"	"01110CSR"	"Clinocera"	2
"2575"	"01025CSR"	"Clinocera"	1
"2576"	"01005CSR"	"Clinocera"	2
"2577"	"01069CSR"	"Clinocera"	59
"2578"	"01072CSR"	"Clinocera"	68
"2579"	"01050CSR"	"Clinocera"	6
"2580"	"01039WSE"	"Clinocera"	1
"2581"	"01114CSR"	"Clinocera"	1
"2582"	"01115CSR"	"Clinocera"	55
"2583"	"00105CSR"	"Hemerodromia"	3
"2584"	"99003SPS"	"Hemerodromia"	1
"2585"	"00018REM"	"Hemerodromia"	1
"2586"	"00012WSE"	"Hemerodromia"	2
"2587"	"01089CSR"	"Hemerodromia"	2
"2588"	"99015REM"	"Oreogeton"	1
"2589"	"99074CSR"	"Oreogeton"	2
"2590"	"99073CSR"	"Oreogeton"	1
"2591"	"99032CSR"	"Oreogeton"	1
"2592"	"99035CSR"	"Oreogeton"	1
"2593"	"99012REM"	"Oreogeton"	1
"2594"	"99023REM"	"Oreogeton"	1
"2595"	"99030REM"	"Oreogeton"	2
"2596"	"99029REM"	"Oreogeton"	1
"2597"	"99018REM"	"Oreogeton"	1
"2598"	"00025CSR"	"Oreogeton"	1
"2599"	"00060CSR"	"Oreogeton"	1
"2600"	"00027REM"	"Oreogeton"	2
"2601"	"00031REM"	"Oreogeton"	2
"2602"	"00020REM"	"Oreogeton"	2
"2603"	"00013REM"	"Oreogeton"	1
"2604"	"00021REM"	"Oreogeton"	2
"2605"	"00009WSE"	"Oreogeton"	3
"2606"	"01104CSR"	"Oreogeton"	1
"2607"	"01108CSR"	"Oreogeton"	1
"2608"	"01110CSR"	"Oreogeton"	1
"2609"	"01085CSR"	"Oreogeton"	114
"2610"	"01038WSE"	"Oreogeton"	6
"2611"	"01113CSR"	"Oreogeton"	1
"2612"	"99004CSR"	"Wiedemannia"	1
"2613"	"00017REM"	"Wiedemannia"	1
"2614"	"01040WSE"	"Wiedemannia"	2
"2615"	"00029CSR"	"Psychodidae"	1
"2616"	"99011CSR"	"Psychodidae"	1
"2617"	"00041CSR"	"Psychodidae"	2
"2618"	"99004SPS"	"Maruina"	5
"2619"	"99005SPS"	"Maruina"	1
"2620"	"99006CSR"	"Maruina"	1
"2621"	"99029CSR"	"Maruina"	4
"2622"	"99030CSR"	"Maruina"	1
"2623"	"99002REM"	"Maruina"	1
"2624"	"99003REM"	"Maruina"	1
"2625"	"00001REM"	"Maruina"	1
"2626"	"00053CSR"	"Maruina"	1
"2627"	"00009CSR"	"Maruina"	1
"2628"	"00004CSR"	"Maruina"	11
"2629"	"00017CSR"	"Maruina"	1
"2630"	"00033REM"	"Maruina"	1
"2631"	"01027CSR"	"Maruina"	9
"2632"	"01066CSR"	"Maruina"	1
"2633"	"01076CSR"	"Maruina"	1
"2634"	"01062CSR"	"Maruina"	1
"2635"	"01089CSR"	"Maruina"	41
"2636"	"01090CSR"	"Maruina"	3
"2637"	"01040WSE"	"Maruina"	13
"2638"	"01042WSE"	"Maruina"	17
"2639"	"01044WSE"	"Maruina"	4
"2640"	"01111CSR"	"Maruina"	2
"2641"	"01114CSR"	"Maruina"	6
"2642"	"01116CSR"	"Maruina"	33
"2643"	"99062CSR"	"Pericoma"	1
"2644"	"00046CSR"	"Pericoma"	2
"2645"	"99011CSR"	"Pericoma"	4
"2646"	"99029CSR"	"Pericoma"	1
"2647"	"99030REM"	"Pericoma"	13
"2648"	"99031REM"	"Pericoma"	1
"2649"	"00070CSR"	"Pericoma"	3
"2650"	"00001SPS"	"Pericoma"	5
"2651"	"00001WSE"	"Pericoma"	1
"2652"	"00004WSE"	"Pericoma"	31
"2653"	"00006WSE"	"Pericoma"	2
"2654"	"00008WSE"	"Pericoma"	1
"2655"	"00011WSE"	"Pericoma"	63
"2656"	"00028REM"	"Pericoma"	7
"2657"	"01027CSR"	"Pericoma"	1
"2658"	"01072CSR"	"Pericoma"	8
"2659"	"01056CSR"	"Pericoma"	10
"2660"	"01090CSR"	"Pericoma"	31
"2661"	"01116CSR"	"Pericoma"	2
"2662"	"01034WSE"	"Pericoma/Telmatoscopus"	1
"2663"	"01039WSE"	"Pericoma/Telmatoscopus"	2
"2664"	"01005CSR"	"Psychoda"	2
"2665"	"99015CSR"	"Simuliidae"	1
"2666"	"01119CSR"	"Simuliidae"	1
"2667"	"99061CSR"	"Simuliidae-pupae"	1
"2668"	"99063CSR"	"Simuliidae-pupae"	7
"2669"	"99010CSR"	"Prosimulium"	2
"2670"	"99014CSR"	"Prosimulium"	5
"2671"	"99021REM"	"Prosimulium"	3
"2672"	"00031REM"	"Prosimulium"	2
"2673"	"00021REM"	"Prosimulium"	1
"2674"	"00002SPS"	"Prosimulium"	29
"2675"	"00008WSE"	"Prosimulium"	6
"2676"	"00028REM"	"Prosimulium"	11
"2677"	"01105CSR"	"Prosimulium"	1
"2678"	"01106CSR"	"Prosimulium"	7
"2679"	"01110CSR"	"Prosimulium"	2
"2680"	"01039WSE"	"Prosimulium"	4
"2681"	"99019CSR"	"Simulium"	3
"2682"	"99018CSR"	"Simulium"	26
"2683"	"99061CSR"	"Simulium"	22
"2684"	"99028CSR"	"Simulium"	1
"2685"	"99031CSR"	"Simulium"	3
"2686"	"00008CSR"	"Simulium"	132
"2687"	"99021CSR"	"Simulium"	19
"2688"	"99015REM"	"Simulium"	1
"2689"	"99074CSR"	"Simulium"	3
"2690"	"99039CSR"	"Simulium"	1
"2691"	"99017CSR"	"Simulium"	15
"2692"	"99004SPS"	"Simulium"	78
"2693"	"99005SPS"	"Simulium"	15
"2694"	"99006SPS"	"Simulium"	26
"2695"	"99062CSR"	"Simulium"	22
"2696"	"99016CSR"	"Simulium"	168
"2697"	"00028CSR"	"Simulium"	4
"2698"	"99055CSR"	"Simulium"	12
"2699"	"00063CSR"	"Simulium"	46
"2700"	"99070CSR"	"Simulium"	1
"2701"	"99072CSR"	"Simulium"	5
"2702"	"00029CSR"	"Simulium"	8
"2703"	"99026CSR"	"Simulium"	12
"2704"	"99042CSR"	"Simulium"	172
"2705"	"99004CSR"	"Simulium"	36
"2706"	"99020CSR"	"Simulium"	28
"2707"	"00001CSR"	"Simulium"	2
"2708"	"99041CSR"	"Simulium"	91
"2709"	"99051CSR"	"Simulium"	253
"2710"	"99052CSR"	"Simulium"	3
"2711"	"99053CSR"	"Simulium"	20
"2712"	"99040CSR"	"Simulium"	56
"2713"	"99001CSR"	"Simulium"	94
"2714"	"00016CSR"	"Simulium"	157
"2715"	"99002CSR"	"Simulium"	7
"2716"	"99065CSR"	"Simulium"	13
"2717"	"99063CSR"	"Simulium"	98
"2718"	"00105CSR"	"Simulium"	19
"2719"	"99033REM"	"Simulium"	4
"2720"	"00039CSR"	"Simulium"	3
"2721"	"99012CSR"	"Simulium"	131
"2722"	"99011CSR"	"Simulium"	2
"2723"	"99071CSR"	"Simulium"	14
"2724"	"99073CSR"	"Simulium"	1
"2725"	"99046CSR"	"Simulium"	1
"2726"	"99034CSR"	"Simulium"	4
"2727"	"99054CSR"	"Simulium"	13
"2728"	"99023CSR"	"Simulium"	21
"2729"	"99024CSR"	"Simulium"	4
"2730"	"99037CSR"	"Simulium"	9
"2731"	"99038CSR"	"Simulium"	11
"2732"	"99022CSR"	"Simulium"	11
"2733"	"00005CSR"	"Simulium"	4
"2734"	"99006CSR"	"Simulium"	18
"2735"	"99043CSR"	"Simulium"	117
"2736"	"99044CSR"	"Simulium"	8
"2737"	"99045CSR"	"Simulium"	7
"2738"	"99029CSR"	"Simulium"	3
"2739"	"99030CSR"	"Simulium"	2
"2740"	"99010REM"	"Simulium"	2
"2741"	"99012REM"	"Simulium"	13
"2742"	"99009REM"	"Simulium"	1
"2743"	"99007REM"	"Simulium"	1
"2744"	"99023REM"	"Simulium"	12
"2745"	"99008REM"	"Simulium"	2
"2746"	"99027REM"	"Simulium"	1
"2747"	"99022REM"	"Simulium"	102
"2748"	"99011REM"	"Simulium"	10
"2749"	"99025REM"	"Simulium"	7
"2750"	"99029REM"	"Simulium"	2
"2751"	"99002REM"	"Simulium"	51
"2752"	"99016REM"	"Simulium"	2
"2753"	"99003REM"	"Simulium"	2
"2754"	"99017REM"	"Simulium"	4
"2755"	"99001REM"	"Simulium"	3
"2756"	"99031REM"	"Simulium"	1
"2757"	"99005REM"	"Simulium"	3
"2758"	"99006REM"	"Simulium"	2
"2759"	"99004REM"	"Simulium"	32
"2760"	"00001REM"	"Simulium"	7
"2761"	"99020REM"	"Simulium"	1
"2762"	"00011REM"	"Simulium"	1
"2763"	"00006REM"	"Simulium"	2
"2764"	"00020CSR"	"Simulium"	242
"2765"	"00002CSR"	"Simulium"	5
"2766"	"00015CSR"	"Simulium"	42
"2767"	"00041CSR"	"Simulium"	2
"2768"	"00019CSR"	"Simulium"	23
"2769"	"00042CSR"	"Simulium"	1
"2770"	"00036CSR"	"Simulium"	4
"2771"	"00026CSR"	"Simulium"	45
"2772"	"00065CSR"	"Simulium"	197
"2773"	"00035CSR"	"Simulium"	2
"2774"	"00037CSR"	"Simulium"	1
"2775"	"00045CSR"	"Simulium"	3
"2776"	"00062CSR"	"Simulium"	2
"2777"	"00014CSR"	"Simulium"	8
"2778"	"00013CSR"	"Simulium"	33
"2779"	"00103CSR"	"Simulium"	4
"2780"	"00012CSR"	"Simulium"	206
"2781"	"00057CSR"	"Simulium"	8
"2782"	"00067CSR"	"Simulium"	2
"2783"	"00027CSR"	"Simulium"	38
"2784"	"00010CSR"	"Simulium"	10
"2785"	"00038CSR"	"Simulium"	3
"2786"	"00025CSR"	"Simulium"	4
"2787"	"00009CSR"	"Simulium"	215
"2788"	"01080CSR"	"Simulium"	3
"2789"	"00050CSR"	"Simulium"	5
"2790"	"00070CSR"	"Simulium"	1
"2791"	"00007CSR"	"Simulium"	1
"2792"	"00049CSR"	"Simulium"	14
"2793"	"00006CSR"	"Simulium"	1
"2794"	"00060CSR"	"Simulium"	1
"2795"	"00004CSR"	"Simulium"	5
"2796"	"00058CSR"	"Simulium"	44
"2797"	"00061CSR"	"Simulium"	43
"2798"	"00018CSR"	"Simulium"	77
"2799"	"00051CSR"	"Simulium"	2
"2800"	"00027REM"	"Simulium"	3
"2801"	"00017REM"	"Simulium"	2
"2802"	"00036REM"	"Simulium"	8
"2803"	"00033REM"	"Simulium"	18
"2804"	"00008REM"	"Simulium"	2
"2805"	"00029REM"	"Simulium"	122
"2806"	"00034REM"	"Simulium"	4
"2807"	"00007REM"	"Simulium"	16
"2808"	"00031REM"	"Simulium"	1
"2809"	"00020REM"	"Simulium"	2
"2810"	"00025REM"	"Simulium"	8
"2811"	"00018REM"	"Simulium"	3
"2812"	"00009REM"	"Simulium"	115
"2813"	"00013REM"	"Simulium"	6
"2814"	"00014REM"	"Simulium"	1
"2815"	"00012REM"	"Simulium"	3
"2816"	"00002REM"	"Simulium"	96
"2817"	"00022REM"	"Simulium"	10
"2818"	"00026REM"	"Simulium"	48
"2819"	"00021REM"	"Simulium"	2
"2820"	"00010REM"	"Simulium"	5
"2821"	"00047CSR"	"Simulium"	2
"2822"	"00044CSR"	"Simulium"	2
"2823"	"00002SPS"	"Simulium"	174
"2824"	"00001SPS"	"Simulium"	6
"2825"	"00002WSE"	"Simulium"	171
"2826"	"00003WSE"	"Simulium"	3
"2827"	"00004WSE"	"Simulium"	1
"2828"	"00010WSE"	"Simulium"	11
"2829"	"00012WSE"	"Simulium"	4
"2830"	"00030REM"	"Simulium"	6
"2831"	"00028REM"	"Simulium"	2
"2832"	"01093CSR"	"Simulium"	5
"2833"	"01094CSR"	"Simulium"	1
"2834"	"01095CSR"	"Simulium"	3
"2835"	"01096CSR"	"Simulium"	1
"2836"	"01102CSR"	"Simulium"	1
"2837"	"01104CSR"	"Simulium"	4
"2838"	"01105CSR"	"Simulium"	1
"2839"	"01109CSR"	"Simulium"	1
"2840"	"01110CSR"	"Simulium"	2
"2841"	"01016CSR"	"Simulium"	1
"2842"	"01023CSR"	"Simulium"	2
"2843"	"01025CSR"	"Simulium"	1
"2844"	"01037CSR"	"Simulium"	22
"2845"	"01003CSR"	"Simulium"	4
"2846"	"01005CSR"	"Simulium"	11
"2847"	"01007CSR"	"Simulium"	1
"2848"	"01012CSR"	"Simulium"	3
"2849"	"01065CSR"	"Simulium"	21
"2850"	"01066CSR"	"Simulium"	6
"2851"	"01067CSR"	"Simulium"	90
"2852"	"01072CSR"	"Simulium"	4
"2853"	"01050CSR"	"Simulium"	3
"2854"	"01051CSR"	"Simulium"	1
"2855"	"01059CSR"	"Simulium"	1
"2856"	"01062CSR"	"Simulium"	5
"2857"	"01082CSR"	"Simulium"	3
"2858"	"01089CSR"	"Simulium"	68
"2859"	"01090CSR"	"Simulium"	4
"2860"	"01031WSE"	"Simulium"	1
"2861"	"01032WSE"	"Simulium"	3
"2862"	"01033WSE"	"Simulium"	2
"2863"	"01036WSE"	"Simulium"	1
"2864"	"01039WSE"	"Simulium"	2
"2865"	"01040WSE"	"Simulium"	4
"2866"	"01041WSE"	"Simulium"	2
"2867"	"01042WSE"	"Simulium"	24
"2868"	"01111CSR"	"Simulium"	5
"2869"	"01112CSR"	"Simulium"	1
"2870"	"01112CSR"	"Simulium"	1
"2871"	"01114CSR"	"Simulium"	3
"2872"	"01114CSR"	"Simulium"	7
"2873"	"01116CSR"	"Simulium"	2
"2874"	"01119CSR"	"Simulium"	1
"2875"	"01113CSR"	"Simulium"	1
"2876"	"01113CSR"	"Simulium"	17
"2877"	"00038CSR"	"Stratiomyidae"	1
"2878"	"00055CSR"	"Caloparyphus"	2
"2879"	"99005SPS"	"Tabanidae"	1
"2880"	"99006SPS"	"Tabanidae"	1
"2881"	"99045CSR"	"Tabanidae"	1
"2882"	"99008REM"	"Tabanidae"	1
"2883"	"99022REM"	"Tabanidae"	1
"2884"	"00058CSR"	"Tabanidae"	2
"2885"	"01044WSE"	"Tabanidae"	2
